name,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match
Javier Feres,9.0,0.0,1.0,26.0
"Johnson, Oscar",1.0,0.0,2.0,22.0
Jordi Espinoza,3.0,1.0,4.0,10.0
Jorge Tarraga Lajara,5.0,0.0,2.0,
Jose Da Silva,0.0,0.0,6.0,22.0
Jose Maria Sanchez Santos,5.0,0.0,5.0,34.0
Jose Mendonca da Silva Junior,6.0,2.0,2.0,23.0
José Omar Losantos,3.0,0.0,4.0,
Jun Shin Shin,9.0,0.0,2.0,28.0
Kajetan Kasprzyk,4.0,0.0,4.0,34.0
"Kamimura, Atsushi",2.0,0.0,2.0,18.0
"Kanagasingam, Anojen",1.0,0.0,3.0,15.0
"Karaoglan, Atilla",10.0,0.0,0.0,24.0
Karim Abed,2.0,0.0,2.0,20.0
"Kasahara, Hiroki",6.0,0.0,3.0,17.0
Keylor Herrera Villalobos,6.0,0.0,0.0,30.0
"Kim, Dae Yong",6.0,0.0,2.0,28.0
"Kim, Jong Hyeok",1.0,0.0,1.0,
"Kimura, Hiroyuki",3.0,0.0,3.0,21.0
"Kim, Woo-sung",6.0,0.0,5.0,
"Kirk, Thomas",2.0,0.0,4.0,29.0
"Kitchen, Andrew",3.0,0.0,5.0,23.0
Knut Kircher,5.0,0.0,2.0,
"Ko, Hyung-Jin",5.0,0.0,1.0,24.0
"Kolak, Batuhan",5.0,0.0,0.0,27.0
"Kolev, Kristiyan",1.0,1.0,1.0,
"Kooij, Joey",6.0,1.0,3.0,28.0
"Kos, Damian",7.0,0.0,3.0,27.0
"Kuzma, Lukasz",3.0,0.0,2.0,35.0
"Ladeback, Adam",1.0,0.0,4.0,27.0
Ladislav Szikszay,0.0,0.0,0.0,
Lahlou Benbraham,1.0,0.0,2.0,30.0
"Langford, Oliver",0.0,0.0,4.0,14.0
"La Penna, Federico",4.0,0.0,2.0,27.0
Lars Erbst,1.0,0.0,5.0,30.0
"Lasyk, Piotr",1.0,1.0,4.0,25.0
"Lauziere, Pierre-Luc",7.0,0.0,1.0,26.0
"Lax Franco, Salvador",5.0,0.0,4.0,24.0
"Ledda, Massimiliano",2.0,0.0,4.0,28.0
"Lee, Dong Jun",7.0,2.0,3.0,34.0
"Lee, Ryan",5.0,0.0,4.0,26.0
"Leonard, Thomas",5.0,1.0,2.0,21.0
Leonidas Exuzidis,4.0,0.0,3.0,29.0
Leo Simao Holanda,5.0,0.0,3.0,15.0
"Letexier, Francois",4.0,0.0,8.0,24.0
"Li, Haixin",5.0,0.0,1.0,28.0
"Lindhout, Allard",3.0,0.0,4.0,20.0
Lionel Jaffredo,7.0,0.0,1.0,
"Loayza, Byran",7.0,0.0,3.0,24.0
"Lopez, Derlis",5.0,0.0,2.0,23.0
"Lopez Osorio, Melissa",3.0,0.0,3.0,19.0
"Lopez Penuelas, Ismael Rosario",2.0,0.0,6.0,8.0
"Lopez Sanchez, Ivan Antonio",5.0,1.0,5.0,17.0
Lorena Del Mar Trujillano Gallardo,4.0,0.0,1.0,19.0
Luca Banti,5.0,0.0,1.0,
Luigi Agnolin,1.0,0.0,4.0,
Luis Enrique Morona Del Campo,6.0,1.0,3.0,
Lukas Benen,2.0,1.0,5.0,21.0
Lukasz Karski,0.0,0.0,4.0,29.0
"MacDermid, Matthew",1.0,0.0,3.0,29.0
Maciej Wegrzyk,1.0,0.0,4.0,20.0
"Madley, Andrew",4.0,0.0,4.0,20.0
"Madley, Robert",1.0,0.0,5.0,27.0
Maguielson Lima Barbosa,3.0,0.0,0.0,41.0
"Malec, Pawel",1.0,0.0,6.0,19.0
"Mallo Fernandez, Eder",7.0,0.0,3.0,30.0
"Ma, Ning",7.0,0.0,5.0,26.0
"Manschot, Jeroen",5.0,0.0,2.0,21.0
Manuel Garcia Gomez,3.0,0.0,1.0,
Manuel Pozueta Rodriguez,9.0,0.0,2.0,
"Maqedonci, Granit",4.0,0.0,1.0,21.0
Marcelo Ibanez Juarez,8.0,0.0,2.0,
"Marciniak, Szymon",4.0,0.0,5.0,18.0
Marc Philip Eckermann,11.0,0.0,1.0,30.0
"Maresca, Fabio",6.0,0.0,2.0,32.0
"Mariani, Maurizio",4.0,0.0,4.0,18.0
Maria Sole Ferrieri Caputi,5.0,0.0,3.0,28.0
"Marinelli, Livio",3.0,0.0,0.0,25.0
Mario Escobar,6.0,0.0,2.0,19.0
"Markov, Martin",3.0,1.0,3.0,20.0
"Marrufo, Jair Antonio",2.0,0.0,2.0,13.0
Martin Matoša,0.0,0.0,2.0,19.0
"Martin, Steve",4.0,0.0,4.0,17.0
Martin Woods,5.0,1.0,2.0,
"Massa, Davide",7.0,0.0,0.0,34.0
Massimo Busacca,4.0,0.0,2.0,
Mateusz Mastaj,2.0,0.0,3.0,26.0
"Matonte, Andres",2.0,0.0,2.0,20.0
"Mattsson, Erik",7.0,0.0,3.0,26.0
Max Burda,4.0,0.0,0.0,24.0
"Maza Gomez, Piero",6.0,2.0,2.0,20.0
Mehrez Melki,4.0,0.0,5.0,20.0
"Mendes de Salles Nascimento Filho, Fernando Antonio",6.0,0.0,4.0,30.0
"Mendonca da Silva Junior, Jose",6.0,1.0,0.0,29.0
"Mendoza, Rosendo",3.0,0.0,2.0,26.0
"Menendez Laos, Augusto Alfredo",1.0,0.0,5.0,26.0
Messie Jessie Oved Nkounkou,6.0,0.0,1.0,24.0
Michael Bacher,5.0,1.0,4.0,26.0
Michael Barlow,4.0,0.0,5.0,20.0
Michael Riley,2.0,0.0,2.0,
Michael Venne,0.0,0.0,3.0,31.0
Michel Vautrot,3.0,0.0,2.0,
Mickael Leleu,6.0,0.0,6.0,28.0
Mihail Sebastian Lastun,5.0,0.0,5.0,17.0
Mihaly Kapraly,0.0,0.0,0.0,
"Millot, Benoit",4.0,0.0,5.0,25.0
"Minev, Vasil",6.0,0.0,4.0,25.0
"Ming, Fu",1.0,0.0,4.0,13.0
Mitja Stegemann,3.0,0.0,2.0,14.0
"Mitrev, Ventsislav",7.0,1.0,2.0,
Mohammad Usman Aslam,0.0,0.0,0.0,
"Monteiro dos Santos, Fabiano",5.0,0.0,3.0,20.0
"Moschou, Dimitrios",3.0,0.0,7.0,29.0
"Mucera, Giuseppe",2.0,0.0,2.0,29.0
"Muniz Munoz, Carlos",6.0,0.0,5.0,35.0
"Muniz Ruiz, Alejandro",4.0,0.0,3.0,30.0
"Munuera Montero, Jose Luis",4.0,0.0,2.0,20.0
"Muresan, Sergui Claudiu",3.0,0.0,3.0,13.0
Murilo Ugolini Klein,0.0,0.0,3.0,22.0
Mustapha Kechaf,2.0,0.0,5.0,25.0
"Myc, Wojciech",6.0,0.0,1.0,30.0
"Nagtegaal, Marc",1.0,0.0,3.0,13.0
"Nakamura, Futoshi",1.0,0.0,4.0,15.0
Neale Barry,3.0,0.0,2.0,
"Nedyalkov Kirov, Todor",5.0,0.0,3.0,19.0
Nestor Holgueras Castellanos,4.0,0.0,3.0,
Niccolo Turrini,3.0,0.0,3.0,26.0
Nico Fuchs,4.0,0.0,9.0,24.0
Nicola Rizzoli,2.0,0.0,2.0,
Nicolas Rainville,2.0,0.0,1.0,
Nikolay Popnikolov,3.0,0.0,3.0,24.0
"Nyberg, Glenn",2.0,0.0,2.0,28.0
"Obrenovic, Rade",1.0,0.0,1.0,26.0
"Ojaos Valera, Alejandro",6.0,0.0,3.0,22.0
"Ojeda, David",5.0,0.0,2.0,17.0
"Oliveira da Silva, David Rafael",5.0,0.0,1.0,40.0
"Oliver, Michael",4.0,0.0,1.0,26.0
Ondrej Berka,3.0,0.0,1.0,25.0
"Oostrom, Ingmar",0.0,0.0,5.0,15.0
"Orellana Cid, Manuel Jesus",7.0,0.0,0.0,33.0
"Ortega Jaimes, Carlos Arturo",7.0,1.0,2.0,19.0
"Ortega, Kevin",5.0,0.0,2.0,27.0
"Ortiz Arias, Miguel Angel",4.0,0.0,3.0,24.0
"Osmers, Harm",3.0,0.0,2.0,24.0
"Ospina Londono, Jhon Alexander",3.0,0.0,2.0,27.0
"Ostojich, Esteban",8.0,0.0,1.0,25.0
"Palencia Caballero, Daniel",4.0,0.0,3.0,25.0
Paolo Tagliavento,5.0,0.0,5.0,
Paolo Valeri,4.0,0.0,3.0,31.0
"Papapetrou, Anastasios",10.0,0.0,1.0,33.0
"Paradis, Guillaume",5.0,0.0,2.0,24.0
"Park, Byung jin",4.0,1.0,1.0,
"Parsons, Thomas",8.0,0.0,2.0,22.0
Patrice Tanguy Mebiame,3.0,0.0,4.0,30.0
Patrick Alt,10.0,0.0,6.0,42.0
Patrick Schwengers,3.0,0.0,3.0,16.0
Patrik Kolarić,0.0,0.0,3.0,
Patryk Swierczek,5.0,0.0,1.0,23.0
Paulo Belence Alves Dos Prazeres Filho,0.0,0.0,4.0,28.0
Pavle Ilic,0.0,0.0,0.0,
Pawel Horozaniecki,4.0,0.0,7.0,0.0
Pawel Wrzeszczynski,1.0,0.0,2.0,23.0
"Pelaez Arnillas, Elena",5.0,0.0,3.0,12.0
"Penso, Christopher",8.0,0.0,5.0,25.0
"Penso, Tori",5.0,0.0,3.0,19.0
"Pereira de Lima, Rodrigo Jose",4.0,0.0,3.0,24.0
"Pereira Vasconcelos, Bruno",4.0,0.0,1.0,24.0
"Perez Gutierrez, Roberto",4.0,0.0,3.0,19.0
"Perez Hernandez, Manuel Angel",9.0,1.0,1.0,32.0
"Perez Villalobos, Salvador",1.0,1.0,3.0,20.0
"Pesu, Ionela Alina",6.0,0.0,4.0,32.0
Petar Mitrev,5.0,0.0,4.0,23.0
"Petersen, Martin",3.0,0.0,7.0,24.0
Peter Wright,4.0,0.0,4.0,
"Pezzuto, Ivano",3.0,0.0,0.0,24.0
Philip Farrugia,0.0,0.0,4.0,
Pierre Gaillouste,4.0,0.0,8.0,26.0
Pierre Legat,4.0,1.0,3.0,35.0
Pierry Dias dos Santos,9.0,0.0,4.0,34.0
"Pignard, Jeremie",4.0,0.0,3.0,23.0
"Pinheiro, Joao Pedro",1.0,0.0,1.0,17.0
Piotr Pazdecki,4.0,0.0,1.0,36.0
Pol Arenas Mora,10.0,1.0,2.0,
"Policarpo Bento, Andre Luis Skettino",6.0,0.0,5.0,28.0
"Polychronis, Fotios",4.0,0.0,6.0,31.0
"Popov, Nikola",5.0,0.0,3.0,
"Qovanaj, Hajrim",4.0,0.0,4.0,16.0
"Quintero Gonzalez, Alejandro",9.0,0.0,3.0,29.0
"Quirarte Contreras, Abraham de Jesus",7.0,0.0,3.0,33.0
"Raczkowski, Pawel",3.0,0.0,3.0,17.0
Rafal Szydelko,5.0,0.0,3.0,15.0
"Ramirez, Maximiliano",3.0,1.0,2.0,15.0
Raquel Solano Suarez,4.0,0.0,2.0,24.0
"Rechatiko Horn, Lucas Guimaraes",9.0,0.0,1.0,34.0
Remi Landry,3.0,0.0,7.0,18.0
"Reynoso Arce, Vicente Jassiel",5.0,0.0,4.0,22.0
"Ricardo, Ruebyn",3.0,0.0,4.0,25.0
Richard Hempel,4.0,0.0,1.0,20.0
"Rivas, Victor",9.0,0.0,3.0,30.0
Robert Constantin Avram,0.0,0.0,3.0,25.0
Robert Helies,1.0,0.0,2.0,
Robert Kampka,6.0,0.0,5.0,16.0
Robert Massey-Ellis,4.0,0.0,1.0,
"Robertson, Don",7.0,1.0,3.0,25.0
Robert Styles,0.0,1.0,2.0,
"Rodrigues de Souza, Flavio",9.0,1.0,4.0,32.0
"Roldan Perez, Wilmar Alexander",9.0,0.0,1.0,21.0
"Roman, George Catalin",5.0,0.0,2.0,20.0
Roman Jitari,0.0,0.0,2.0,
"Roque Baixinho, Ricardo Jorge Antunes",5.0,2.0,4.0,22.0
Ross Martin,3.0,0.0,2.0,
Ruben Ruiperez Marin,2.0,0.0,4.0,
Rustam Lutfullin,4.0,0.0,0.0,20.0
"Sacchi, Juan Luca",0.0,0.0,5.0,19.0
Samir Zolota,0.0,0.0,3.0,25.0
Sam Mulhall,8.0,1.0,3.0,
"Sampaio, Savio Pereira",5.0,1.0,3.0,22.0
"Sanchez Lopez, Rafael",1.0,1.0,3.0,17.0
"Sanchez Martinez, Jose Maria",2.0,1.0,3.0,35.0
"Sanchez Miguel, Ylenia",4.0,0.0,3.0,24.0
Sandi Putros,0.0,0.0,2.0,
"San, Fedayi",6.0,0.0,4.0,31.0
"Santander Aguirre, Luis Enrique",2.0,0.0,6.0,20.0
Santiago Jaime Latre,5.0,0.0,3.0,23.0
"Sars, Joakim",3.0,0.0,2.0,28.0
Sayat Karabaev,0.0,0.0,2.0,
"Scharer, Sandro",3.0,0.0,9.0,18.0
"Schlager, Daniel",5.0,0.0,4.0,16.0
"Schnyder, Urs",5.0,0.0,3.0,35.0
"Schroder, Robert",6.0,0.0,3.0,29.0
"Seol, Tae-Hwan",4.0,0.0,5.0,
Sergey Karasev,2.0,0.0,5.0,10.0
"Sesma Espinosa, Miguel",8.0,0.0,2.0,29.0
Shamirah Nabadda,4.0,0.0,1.0,39.0
Shaun Evans,2.0,0.0,1.0,23.0
"Shiino, Daichi",3.0,0.0,2.0,19.0
"Shimizu, Hayato",2.0,0.0,2.0,13.0
"Shin, Jun Shin",5.0,0.0,5.0,30.0
"Siebert, Daniel",2.0,0.0,4.0,14.0
Siegfried Kirschen,4.0,0.0,3.0,
Simovic Novak,0.0,0.0,3.0,
"Smet, Wim",3.0,0.0,3.0,21.0
"Smith, Josh",4.0,0.0,3.0,25.0
"Smith, Lewis",5.0,0.0,3.0,20.0
"Song, Min-Seok",2.0,0.0,2.0,
"Soto Grado, Cesar",3.0,0.0,2.0,18.0
Spiros Zabalas,2.0,1.0,0.0,28.0
"Stalev, Denislav",3.0,0.0,2.0,20.0
"Stefanski, Daniel",5.0,0.0,1.0,25.0
"Stegemann, Sascha",4.0,1.0,6.0,27.0
Stéphane Jochem,4.0,0.0,4.0,
Steven Copeland,8.0,0.0,2.0,
Steven Madrigal,2.0,0.0,4.0,17.0
"Stevis, Brandon",1.0,0.0,5.0,32.0
"Stieler, Tobias",4.0,1.0,0.0,16.0
"Stoyanov, Georgi",3.0,0.0,3.0,31.0
Sylwester Rasmus,0.0,0.0,3.0,28.0
"Sylwestrzak, Damian",6.0,0.0,2.0,34.0
Szymon Lezny,4.0,0.0,2.0,22.0
Szymon Rutkowski,2.0,0.0,3.0,26.0
Takafumi Mikuriya,0.0,0.0,4.0,23.0
"Takasaki, Koji",0.0,0.0,5.0,18.0
"Tang, Shunqi",6.0,1.0,4.0,26.0
"Taskinsoy, Abdullah Bugra",1.0,0.0,2.0,20.0
"Tejera, Gustavo",2.0,0.0,2.0,28.0
Thaillan Azevedo Gomes,7.0,1.0,0.0,35.0
"Tierney, Paul",4.0,1.0,2.0,22.0
Tifenn Leprodhomme,5.0,0.0,1.0,29.0
Timo Gansloweit,7.0,0.0,2.0,32.0
Todor Vukov,0.0,0.0,4.0,25.0
Tomasz Wajda,6.0,0.0,2.0,26.0
Tom Bauer,3.0,1.0,3.0,29.0
Tom Owen,0.0,0.0,1.0,
"Toner, Ben",4.0,0.0,2.0,20.0
"Tong, Ren",3.0,0.0,4.0,22.0
Tony Chapron,4.0,0.0,0.0,
"Torezin, Lucas Paulo",7.0,0.0,1.0,29.0
"Torres, Marcio",6.0,0.0,3.0,22.0
"Torres Ramalho, Pedro Miguel",4.0,0.0,2.0,23.0
"Touchan, Ramy",8.0,0.0,1.0,33.0
"Tsakalidis, Alexandros",6.0,0.0,2.0,29.0
"Tsimenteridis, Stavros",7.0,0.0,0.0,38.0
"Turtay, Omer Faruk",3.0,0.0,5.0,28.0
"Tzilos, Athanasios",2.0,0.0,3.0,25.0
"Ueda, Masuya",2.0,0.0,2.0,17.0
Valentin Stanchev,0.0,0.0,1.0,22.0
"Valenzuela, Jesus",4.0,0.0,3.0,22.0
"Van de Graaf, Edwin",3.0,1.0,3.0,16.0
"van der Eijk, Sander",2.0,0.0,5.0,20.0
"van der Laan, Jannick",1.0,0.0,2.0,28.0
"Vargas Carreno, Gery Anthony",5.0,0.0,1.0,14.0
"Vejar, Fernando",3.0,0.0,3.0,17.0
"Velikov, Martin",3.0,0.0,2.0,22.0
"Venne, Michael",4.0,0.0,2.0,23.0
"Verbeke, Bert",2.0,1.0,3.0,29.0
"Vernice, Mathieu",8.0,0.0,1.0,22.0
Victor José Esquinas Torres,0.0,1.0,2.0,
"Vidican, Rares George",6.0,0.0,1.0,23.0
Viktor Kassai,2.0,0.0,4.0,
Viktor Kopievskiy,0.0,0.0,5.0,
Visar Kastrati,0.0,0.0,3.0,
"Vos, Martijn",4.0,0.0,4.0,21.0
"Walsh, Nick",5.0,0.0,1.0,32.0
Walter Lopez,2.0,0.0,0.0,21.0
"Wattellier, Eric",4.0,0.0,4.0,13.0
Wayne Cartmel,2.0,0.0,5.0,
"Webb, David",2.0,0.0,4.0,22.0
"Welz, Tobias",4.0,0.0,5.0,19.0
Wilfried Bien,5.0,0.0,1.0,
"Willenborg, Frank",5.0,0.0,6.0,13.0
William Davis,7.0,0.0,2.0,
"Wolfensberger, Sven",4.0,1.0,2.0,22.0
Wolfgang Haslberger,3.0,0.0,4.0,29.0
"Wolf, Victor",1.0,0.0,3.0,23.0
"Xiangkun, Meng",9.0,1.0,2.0,38.0
Yender Herrera,3.0,0.0,2.0,27.0
Yusuke Araki,2.0,0.0,5.0,27.0
"Zanovelli da Silva, Paulo Cesar",4.0,0.0,3.0,18.0
"Zhang, Lei",0.0,0.0,6.0,16.0
"Zhu, Wenbin",4.0,0.0,4.0,31.0
"Zwayer, Felix",1.0,0.0,2.0,13.0
"Ferreira Da Cruz, Yuri Elino",,,,
"Guida, Marco",,,,
Pablo Gonzalez,4.56,0.21,2.72,27.91
Jorge Figueroa,4.14,0.21,2.12,27.21
Valentin Pizarro,4.05,0.32,3.18,23.47
Benjamin Cortus,4.55,0.1,3.05,25.48
David Coote,4.2,0.11,2.56,23.23
Graham Scott,3.38,0.16,2.75,20.8
Rebecca Welch,4.71,0.14,2.0,21.52
Andre Marriner,2.86,0.09,3.28,18.27
Jonathan Moss,2.96,0.12,2.92,19.53
Mike Dean,3.78,0.18,2.65,21.18
Martin Atkinson,2.62,0.11,3.04,18.9
Kevin Friend,3.16,0.13,2.89,20.38
Antonio Giua,4.72,0.19,3.09,24.91
Alessandro Prontera,4.04,0.2,3.19,26.42
Gianluca Aureliano,4.36,0.23,2.75,27.55
Francesco Cosso,5.38,0.27,2.4,25.69
Davide Ghersini,3.43,0.19,2.47,23.14
Marco Monaldi,5.76,0.18,4.0,32.18
Daniele Rutella,5.22,0.28,2.0,28.0
Alberto Santoro,4.82,0.11,2.17,26.25
Marco Serra,5.29,0.29,3.43,25.71
Manuel Volpi,5.33,0.17,3.09,30.67
Giacomo Camplone,4.0,0.5,3.0,26.5
Daniele Minelli,6.0,0.0,3.0,27.2
Daniele Paterna,6.5,1.0,3.0,30.0
Francesco Meraviglia,5.0,0.0,2.0,26.5
Valerio Marini,5.5,0.0,3.5,28.5
Lorenzo Maggioni,5.25,0.25,2.33,29.0
Antonio Di Martino,3.0,0.0,4.0,26.0
Matteo Gariglio,5.5,0.0,3.0,25.0
Gianpiero Miele,4.0,0.0,1.0,27.0
Victor Acosta, 3.8, 0.2, 3.0, 24.0
Juan Pulido, 4.5, 0.1, 2.5, 22.0
Jason Hsu, 4.0, 0.3, 3.5, 26.0
Robert Schörgenhofer, 5.0, 0.0, 2.0, 28.0
Sunny Singh, 4.2, 0.1, 3.0, 25.0
Hugo Miguel, 4.0, 0.0, 3.0, 27.0
Vitor Ferreira Fernandes, 4.5, 0.2, 2.5, 24.0
Niccolo Baroni, 4.0, 0.0, 3.0, 26.0
